userid,gender,age,city,job,education
userid_000078,0,2,14,1,2.0
userid_000079,1,2,33,1,5.0
userid_000080,1,2,27,5,2.0
userid_000081,0,1,5,2,5.0
userid_000082,1,2,2,10,1.0
userid_000083,1,3,2,9,1.0
userid_000084,0,2,27,6,2.0
userid_000085,1,2,4,10,1.0
userid_000086,1,2,4,1,2.0
userid_000087,1,2,35,1,2.0
userid_000088,1,2,25,1,1.0
userid_000089,1,2,3,12,2.0
userid_000090,1,1,15,1,1.0
userid_000091,1,2,1,7,2.0
userid_000092,0,1,1,1,2.0
userid_000093,1,2,10,2,5.0
userid_000094,1,2,15,9,5.0
userid_000095,1,2,13,1,1.0
userid_000096,1,3,3,1,2.0
userid_000097,1,2,3,11,1.0
userid_000098,1,2,2,1,2.0
userid_000099,1,1,4,8,2.0
userid_000100,1,1,4,1,1.0
userid_000101,1,2,2,1,2.0
userid_000102,1,2,10,1,2.0
userid_000103,1,2,4,8,2.0
userid_000104,0,2,15,1,2.0
userid_000105,0,2,4,1,5.0
userid_000106,1,2,35,9,1.0
userid_000107,0,2,4,1,2.0
userid_000108,1,2,31,10,5.0
userid_000109,1,2,2,1,2.0
userid_000110,0,2,19,2,1.0
userid_000111,1,2,2,1,1.0
userid_000112,1,2,4,10,1.0
userid_000113,0,2,25,1,5.0
userid_000114,0,2,1,10,2.0
userid_000115,1,2,3,6,2.0
userid_000116,1,3,13,1,2.0
userid_000117,0,2,28,1,2.0
userid_000118,0,2,3,4,5.0
userid_000119,0,2,20,5,5.0
userid_000120,0,2,30,3,2.0
userid_000121,0,1,9,1,2.0
userid_000122,1,2,36,4,5.0
userid_000123,0,1,3,1,2.0
userid_000124,1,1,32,2,5.0
userid_000125,0,1,2,11,1.0
userid_000126,1,2,3,1,5.0
userid_000127,0,3,4,8,2.0
userid_000128,1,1,3,1,1.0
userid_000129,1,1,10,1,2.0
userid_000130,1,2,4,1,2.0
userid_000131,0,2,4,5,2.0
userid_000132,1,2,3,11,2.0
userid_000133,1,3,2,1,2.0
userid_000134,1,2,4,1,1.0
userid_000135,0,2,3,1,1.0
userid_000136,0,2,3,1,5.0
userid_000137,0,2,26,3,2.0
userid_000138,1,4,2,1,1.0
userid_000139,1,2,1,12,5.0
userid_000140,1,2,1,1,2.0
userid_000141,1,2,4,1,5.0
userid_000142,1,2,2,2,1.0
userid_000143,1,2,2,8,1.0
userid_000144,0,2,13,2,5.0
userid_000145,1,2,25,5,2.0
userid_000146,0,1,26,4,2.0
userid_000147,1,2,8,7,2.0
userid_000148,1,3,3,1,2.0
userid_000149,1,2,29,2,2.0
userid_000150,1,2,3,1,2.0
userid_000151,0,2,4,1,2.0
userid_000152,0,1,3,9,1.0
userid_000153,1,2,4,2,2.0
userid_000154,1,2,15,4,2.0
userid_000155,1,2,27,4,1.0
userid_000156,0,1,21,12,2.0
userid_000157,0,1,10,11,2.0
userid_000158,0,2,17,4,5.0
userid_000159,0,1,1,1,2.0
userid_000160,1,2,16,10,2.0
userid_000161,0,2,4,9,5.0
userid_000162,1,3,2,6,2.0
userid_000163,1,2,3,6,2.0
userid_000164,0,1,3,8,2.0
userid_000165,0,2,1,1,2.0
userid_000166,1,2,1,1,1.0
userid_000167,1,2,32,7,2.0
userid_000168,1,2,2,10,2.0
userid_000169,1,2,4,3,1.0
userid_000170,0,2,35,1,2.0
userid_000171,0,1,8,11,1.0
userid_000172,1,2,1,2,2.0
userid_000173,1,1,1,4,1.0
userid_000174,0,2,25,1,2.0
userid_000175,1,2,4,8,1.0
userid_000176,0,2,32,1,2.0
userid_000177,1,4,4,10,2.0
userid_000178,0,2,23,1,2.0
userid_000179,1,1,1,1,2.0
userid_000180,1,2,3,5,2.0
userid_000181,1,1,14,6,1.0
userid_000182,0,2,1,6,1.0
userid_000183,0,3,17,4,1.0
userid_000184,1,2,27,5,1.0
userid_000185,0,2,33,6,2.0
userid_000186,1,2,4,5,2.0
userid_000187,1,1,34,7,5.0
userid_000188,1,2,4,4,2.0
userid_000189,1,2,20,9,2.0
userid_000190,1,2,29,1,5.0
userid_000191,1,2,3,3,2.0
userid_000192,1,2,4,8,2.0
userid_000193,1,2,3,1,2.0
userid_000194,0,2,2,1,1.0
userid_000195,1,1,29,8,2.0
userid_000196,1,2,8,1,2.0
userid_000197,1,2,17,6,2.0
userid_000198,0,2,6,4,2.0
userid_000199,1,3,2,9,1.0
userid_000200,1,2,1,1,5.0
userid_000201,0,2,1,6,2.0
userid_000202,1,2,3,1,5.0
userid_000203,1,2,29,10,2.0
userid_000204,1,2,1,5,1.0
userid_000205,1,2,2,2,2.0
userid_000206,1,2,3,1,5.0
userid_000207,0,2,1,2,2.0
userid_000208,1,1,3,5,2.0
userid_000209,1,2,28,1,1.0
userid_000210,0,2,1,1,1.0
userid_000211,1,2,4,8,2.0
userid_000212,1,2,4,4,1.0
userid_000213,1,2,2,11,5.0
userid_000214,1,2,34,4,2.0
userid_000215,1,2,1,1,2.0
userid_000216,1,2,34,11,1.0
userid_000217,0,2,18,8,2.0
userid_000218,1,2,29,8,1.0
userid_000219,1,2,3,4,1.0
userid_000220,1,1,2,8,2.0
userid_000221,1,2,8,7,1.0
userid_000222,0,2,3,6,2.0
userid_000223,1,1,32,10,5.0
userid_000224,0,1,20,1,1.0
userid_000225,1,2,3,3,2.0
userid_000226,1,2,7,1,5.0
userid_000227,0,2,1,2,1.0
userid_000228,0,2,21,1,5.0
userid_000229,0,2,5,1,1.0
userid_000230,1,2,3,11,5.0
userid_000231,1,2,16,6,2.0
userid_000232,0,2,4,10,2.0
userid_000233,0,1,24,7,5.0
userid_000234,0,2,15,1,2.0
userid_000235,1,2,1,1,1.0
userid_000236,1,2,7,1,5.0
userid_000237,1,2,15,5,2.0
userid_000238,0,2,4,1,2.0
userid_000239,0,2,3,1,5.0
userid_000240,0,2,26,6,5.0
userid_000241,1,2,4,8,1.0
userid_000242,0,2,2,9,1.0
userid_000243,0,2,7,1,2.0
userid_000244,1,2,1,5,2.0
userid_000245,1,2,3,9,2.0
userid_000246,1,2,29,4,1.0
userid_000247,1,1,16,2,1.0
userid_000248,1,1,1,1,1.0
userid_000249,1,2,2,8,2.0
userid_000250,1,2,36,5,5.0
userid_000251,1,2,2,5,1.0
userid_000252,0,2,1,2,1.0
userid_000253,1,1,3,8,2.0
userid_000254,0,2,4,8,2.0
userid_000255,1,2,21,8,2.0
userid_000256,1,2,4,3,1.0
userid_000257,0,1,1,1,1.0
userid_000258,0,2,32,10,2.0
userid_000259,1,1,6,1,5.0
userid_000260,0,2,21,10,1.0
userid_000261,1,2,4,11,1.0
userid_000262,1,2,36,1,1.0
userid_000263,1,1,34,1,2.0
userid_000264,0,2,1,5,1.0
userid_000265,1,2,17,2,2.0
userid_000266,1,1,3,1,2.0
userid_000267,1,2,30,8,2.0
userid_000268,0,2,15,5,2.0
userid_000269,0,2,1,7,2.0
userid_000270,1,2,3,5,2.0
userid_000271,1,3,2,1,2.0
userid_000272,1,3,13,4,5.0
userid_000273,1,3,36,1,1.0
userid_000274,1,2,18,1,1.0
userid_000275,1,3,4,1,2.0
userid_000276,0,2,3,1,5.0
userid_000277,1,3,4,4,2.0
userid_000278,0,2,1,3,2.0
userid_000279,0,2,1,1,2.0
userid_000280,1,2,34,2,2.0
userid_000281,1,2,29,1,2.0
userid_000282,0,2,26,12,5.0
userid_000283,0,2,32,1,5.0
userid_000284,1,2,3,8,5.0
userid_000285,1,2,2,7,5.0
userid_000286,1,2,28,1,2.0
userid_000287,1,2,2,8,2.0
userid_000288,1,2,21,3,2.0
userid_000289,1,2,22,10,2.0
userid_000290,1,1,2,8,1.0
userid_000291,1,1,3,9,1.0
userid_000292,1,2,24,8,2.0
userid_000293,1,2,4,7,1.0
userid_000294,1,1,4,1,1.0
userid_000295,0,2,1,5,2.0
userid_000296,1,1,2,3,2.0
userid_000297,1,2,3,1,1.0
userid_000298,1,3,29,6,2.0
userid_000299,0,1,28,2,1.0
userid_000300,1,2,36,2,1.0
userid_000301,0,1,1,1,1.0
userid_000302,1,2,1,10,2.0
userid_000303,1,3,4,1,2.0
userid_000304,0,2,1,7,2.0
userid_000305,1,1,2,1,2.0
userid_000306,1,2,3,9,2.0
userid_000307,0,2,21,7,1.0
userid_000308,1,2,1,7,2.0
userid_000309,0,1,4,1,2.0
userid_000310,1,3,4,1,2.0
userid_000311,1,2,3,1,2.0
userid_000312,1,2,33,8,2.0
userid_000313,1,2,1,1,1.0
userid_000314,1,2,13,3,5.0
userid_000315,1,2,4,1,2.0
userid_000316,1,2,1,11,5.0
userid_000317,1,2,4,3,2.0
userid_000318,1,1,33,1,1.0
userid_000319,0,2,17,10,2.0
userid_000320,0,3,14,1,2.0
userid_000321,1,1,1,3,2.0
userid_000322,0,1,2,9,2.0
userid_000323,0,1,4,5,5.0
userid_000324,1,2,32,1,2.0
userid_000325,1,1,4,11,2.0
userid_000326,1,2,2,9,2.0
userid_000327,1,2,15,11,1.0
userid_000328,0,2,2,1,2.0
userid_000329,1,2,1,8,1.0
userid_000330,1,2,11,1,1.0
userid_000331,0,2,1,11,1.0
userid_000332,1,2,1,7,2.0
userid_000333,1,3,2,1,5.0
userid_000334,1,1,1,6,1.0
userid_000335,1,1,3,2,2.0
userid_000336,1,2,20,1,5.0
userid_000337,1,2,2,1,2.0
userid_000338,1,2,21,2,1.0
userid_000339,1,2,5,1,5.0
userid_000340,1,2,12,1,2.0
userid_000341,1,2,18,1,2.0
userid_000342,1,2,14,5,5.0
userid_000343,1,2,19,3,1.0
userid_000344,1,2,25,1,5.0
userid_000345,0,2,10,7,1.0
userid_000346,0,3,2,9,2.0
userid_000347,0,2,2,1,1.0
userid_000348,0,2,1,3,1.0
userid_000349,1,2,3,6,2.0
userid_000350,1,2,33,1,1.0
userid_000351,0,1,14,11,5.0
userid_000352,1,2,3,9,5.0
userid_000353,1,3,25,9,2.0
userid_000354,1,2,2,1,2.0
userid_000355,0,3,9,10,2.0
userid_000356,1,2,34,1,2.0
userid_000357,1,1,2,1,2.0
userid_000358,0,1,3,9,1.0
userid_000359,1,2,4,10,2.0
userid_000360,1,2,1,8,2.0
userid_000361,0,2,2,1,1.0
userid_000362,1,1,3,1,2.0
userid_000363,1,2,20,10,2.0
userid_000364,0,2,14,1,2.0
userid_000365,0,2,4,2,2.0
userid_000366,1,2,2,12,2.0
userid_000367,1,1,34,1,1.0
userid_000368,1,3,4,3,2.0
userid_000369,1,3,14,1,2.0
userid_000370,0,1,3,7,1.0
userid_000371,1,2,15,1,2.0
userid_000372,1,2,3,1,2.0
userid_000373,1,2,16,8,1.0
userid_000374,1,2,4,1,5.0
userid_000375,1,2,22,10,2.0
userid_000376,0,2,3,1,5.0
userid_000377,1,2,1,10,5.0
userid_000378,1,2,33,10,1.0
userid_000379,1,1,3,9,2.0
userid_000380,0,1,9,3,2.0
userid_000381,1,2,28,1,2.0
userid_000382,1,1,3,7,2.0
userid_000383,0,2,21,10,2.0
userid_000384,1,2,1,1,5.0
userid_000385,1,2,1,2,2.0
userid_000386,1,2,24,2,2.0
userid_000387,1,2,5,1,2.0
userid_000388,1,1,1,5,2.0
userid_000389,1,3,1,1,1.0
userid_000390,1,1,5,1,2.0
userid_000391,1,2,1,6,2.0
userid_000392,1,3,2,8,2.0
userid_000393,1,1,2,5,5.0
userid_000394,1,2,3,1,2.0
userid_000395,0,2,1,9,2.0
userid_000396,1,2,10,11,2.0
userid_000397,1,2,27,10,2.0
userid_000398,1,2,10,4,2.0
userid_000399,1,1,3,12,2.0
userid_000400,0,2,2,1,2.0
userid_000401,1,3,4,9,2.0
userid_000402,1,3,2,5,2.0
userid_000403,1,3,1,1,2.0
userid_000404,0,3,34,7,1.0
userid_000405,1,1,3,1,2.0
userid_000406,1,1,3,4,2.0
userid_000407,1,2,4,1,5.0
userid_000408,1,2,22,10,2.0
userid_000409,0,2,3,3,5.0
userid_000410,1,2,18,1,2.0
userid_000411,1,2,3,7,2.0
userid_000412,1,2,24,1,5.0
userid_000413,1,1,4,6,2.0
userid_000414,1,2,12,6,2.0
userid_000415,1,2,6,5,1.0
userid_000416,0,4,1,3,1.0
userid_000417,0,1,4,1,2.0
userid_000418,0,3,11,10,5.0
userid_000419,0,2,27,7,2.0
userid_000420,0,3,27,10,2.0
userid_000421,0,2,1,10,1.0
userid_000422,0,2,2,1,1.0
userid_000423,1,2,34,6,2.0
userid_000424,1,1,2,1,5.0
userid_000425,1,1,1,9,1.0
userid_000426,1,3,12,4,2.0
userid_000427,0,3,1,1,1.0
userid_000428,1,2,3,3,5.0
userid_000429,0,3,26,1,1.0
userid_000430,0,2,30,6,2.0
userid_000431,1,2,35,1,2.0
userid_000432,1,2,18,11,2.0
userid_000433,1,1,34,11,2.0
userid_000434,0,2,2,6,1.0
userid_000435,1,2,2,10,2.0
userid_000436,1,2,33,8,2.0
userid_000437,1,1,1,1,5.0
userid_000438,0,2,28,1,2.0
userid_000439,0,2,4,9,2.0
userid_000440,1,2,1,6,5.0
userid_000441,0,2,1,5,1.0
userid_000442,1,2,31,1,2.0
userid_000443,0,1,30,8,1.0
userid_000444,0,2,33,4,5.0
userid_000445,1,1,19,11,1.0
userid_000446,1,3,3,1,2.0
userid_000447,0,3,1,8,5.0
userid_000448,1,2,3,10,5.0
userid_000449,0,1,1,8,1.0
userid_000450,1,2,5,1,1.0
userid_000451,1,2,4,12,5.0
userid_000452,1,2,19,1,2.0
userid_000453,1,1,32,1,2.0
userid_000454,0,2,1,1,2.0
userid_000455,1,3,2,6,2.0
userid_000456,0,3,2,1,2.0
userid_000457,1,3,4,8,2.0
userid_000458,1,2,25,9,5.0
userid_000459,0,2,19,5,2.0
userid_000460,1,1,16,1,2.0
userid_000461,0,2,4,2,5.0
userid_000462,1,2,10,3,1.0
userid_000463,0,2,6,1,1.0
userid_000464,0,1,3,10,2.0
userid_000465,0,2,14,10,2.0
userid_000466,0,2,9,3,2.0
userid_000467,1,2,3,1,2.0
userid_000468,1,1,1,7,5.0
userid_000469,0,3,2,8,2.0
userid_000470,1,1,32,2,2.0
userid_000471,0,2,3,11,5.0
userid_000472,0,2,11,4,2.0
userid_000473,0,1,1,7,1.0
userid_000474,1,2,3,1,1.0
userid_000475,1,2,26,10,2.0
userid_000476,1,3,8,10,2.0
userid_000477,0,3,28,1,2.0
userid_000478,1,1,2,1,5.0
userid_000479,0,2,11,6,2.0
userid_000480,1,2,3,3,5.0
userid_000481,0,2,4,5,2.0
userid_000482,1,1,1,9,2.0
userid_000483,1,2,14,7,5.0
userid_000484,0,2,7,9,2.0
userid_000485,1,1,4,11,5.0
userid_000486,0,1,22,2,2.0
userid_000487,1,2,34,9,5.0
userid_000488,0,2,1,2,1.0
userid_000489,1,2,2,1,2.0
userid_000490,0,2,3,2,2.0
userid_000491,0,1,3,11,1.0
userid_000492,1,2,28,1,5.0
userid_000493,1,2,19,1,1.0
userid_000494,1,3,12,5,2.0
userid_000495,1,2,19,10,5.0
userid_000496,1,2,31,4,2.0
userid_000497,1,2,2,1,2.0
userid_000498,1,2,3,6,2.0
userid_000499,0,1,20,8,5.0
userid_000500,1,1,11,1,2.0
userid_000501,0,1,2,2,2.0
userid_000502,1,1,2,1,2.0
userid_000503,0,2,17,4,1.0
userid_000504,1,1,4,5,2.0
userid_000505,1,1,1,1,1.0
userid_000506,0,2,29,1,2.0
userid_000507,0,2,3,1,1.0
userid_000508,1,1,25,12,5.0
userid_000509,1,2,2,6,2.0
userid_000510,1,3,25,1,1.0
userid_000511,0,1,2,5,2.0
userid_000512,1,2,7,2,2.0
userid_000513,0,2,3,5,2.0
userid_000514,1,1,2,7,2.0
userid_000515,1,2,2,1,2.0
userid_000516,1,2,4,10,1.0
userid_000517,1,2,10,1,2.0
userid_000518,0,2,11,9,2.0
userid_000519,1,1,33,10,2.0
userid_000520,0,2,3,1,5.0
userid_000521,0,2,4,1,2.0
userid_000522,1,2,4,1,5.0
userid_000523,0,2,10,6,2.0
userid_000524,0,2,2,9,1.0
userid_000525,0,3,30,1,1.0
userid_000526,1,2,29,9,1.0
userid_000527,1,2,3,1,1.0
userid_000528,0,2,18,5,2.0
userid_000529,0,2,30,1,1.0
userid_000530,1,2,16,12,1.0
userid_000531,1,2,1,1,1.0
userid_000532,1,2,31,1,1.0
userid_000533,1,2,32,3,1.0
userid_000534,0,2,8,11,2.0
userid_000535,1,1,28,5,2.0
userid_000536,0,2,25,6,2.0
userid_000537,1,2,19,1,2.0
userid_000538,1,3,1,7,1.0
userid_000539,0,2,5,9,5.0
userid_000540,0,3,1,11,2.0
userid_000541,1,1,17,4,5.0
userid_000542,1,2,29,2,2.0
userid_000543,0,2,7,3,2.0
userid_000544,0,1,4,7,1.0
userid_000545,1,1,21,3,2.0
userid_000546,1,2,26,1,2.0
userid_000547,1,3,4,8,5.0
userid_000548,0,2,36,1,2.0
userid_000549,1,2,24,12,2.0
userid_000550,1,2,7,2,1.0
userid_000551,1,2,7,4,5.0
userid_000552,1,2,1,1,5.0
userid_000553,1,2,4,1,2.0
userid_000554,1,2,4,5,1.0
userid_000555,1,3,4,1,2.0
userid_000556,1,1,4,1,1.0
userid_000557,1,2,17,11,1.0
userid_000558,1,1,2,9,2.0
userid_000559,0,2,14,1,2.0
userid_000560,1,2,3,1,2.0
userid_000561,1,2,27,6,2.0
userid_000562,0,2,1,1,1.0
userid_000563,1,2,4,7,2.0
userid_000564,0,2,2,1,2.0
userid_000565,1,1,2,4,2.0
userid_000566,1,2,4,10,1.0
userid_000567,1,2,2,1,5.0
userid_000568,0,1,4,3,2.0
userid_000569,1,2,1,1,1.0
userid_000570,1,3,9,1,5.0
userid_000571,1,2,3,9,2.0
userid_000572,1,1,2,7,1.0
userid_000573,0,2,16,3,2.0
userid_000574,1,3,1,1,1.0
userid_000575,1,2,9,11,1.0
userid_000576,1,1,4,1,1.0
userid_000577,1,2,1,3,2.0
userid_000578,0,2,3,5,2.0
userid_000579,1,2,1,9,1.0
userid_000580,0,2,2,2,1.0
userid_000581,0,2,1,1,5.0
userid_000582,0,2,4,1,1.0
userid_000583,1,2,3,7,2.0
userid_000584,1,2,32,10,1.0
userid_000585,1,2,32,2,5.0
userid_000586,1,1,23,4,1.0
userid_000587,1,2,3,1,2.0
userid_000588,1,2,7,1,1.0
userid_000589,0,1,27,1,2.0
userid_000590,1,2,8,1,2.0
userid_000591,1,2,7,11,1.0
userid_000592,1,2,1,11,2.0
userid_000593,0,2,4,7,5.0
userid_000594,0,2,4,4,1.0
userid_000595,0,2,1,4,2.0
userid_000596,1,1,18,11,2.0
userid_000597,0,2,2,3,2.0
userid_000598,1,2,4,1,1.0
userid_000599,1,1,2,11,2.0
userid_000600,1,2,2,8,1.0
userid_000601,1,2,1,2,1.0
userid_000602,1,3,2,1,5.0
userid_000603,1,2,3,10,2.0
userid_000604,1,1,4,5,1.0
userid_000605,1,1,8,9,2.0
userid_000606,0,2,11,7,5.0
userid_000607,1,1,28,8,2.0
userid_000608,1,2,4,8,5.0
userid_000609,1,2,6,11,2.0
userid_000610,0,2,4,11,2.0
userid_000611,0,1,3,1,1.0
userid_000612,1,2,3,1,1.0
userid_000613,0,2,19,11,2.0
userid_000614,1,2,3,6,1.0
userid_000615,0,2,7,1,2.0
userid_000616,0,3,9,1,1.0
userid_000617,1,1,10,1,5.0
userid_000618,1,2,8,6,2.0
userid_000619,1,2,6,10,1.0
userid_000620,1,2,3,10,2.0
userid_000621,0,2,1,1,1.0
userid_000622,1,3,3,1,1.0
userid_000623,1,2,3,10,5.0
userid_000624,1,2,19,11,1.0
userid_000625,1,2,3,7,5.0
userid_000626,1,2,9,1,1.0
userid_000627,1,2,2,11,2.0
userid_000628,1,2,2,5,5.0
userid_000629,1,2,4,2,1.0
userid_000630,0,2,2,10,5.0
userid_000631,1,3,2,1,2.0
userid_000632,0,3,35,10,2.0
userid_000633,1,1,5,1,2.0
userid_000634,1,1,3,10,1.0
userid_000635,1,2,3,1,2.0
userid_000636,1,1,31,10,1.0
userid_000637,1,3,1,11,1.0
userid_000638,1,2,2,6,2.0
userid_000639,1,2,17,7,1.0
userid_000640,0,2,23,1,2.0
userid_000641,1,2,21,11,2.0
userid_000642,0,3,3,9,5.0
userid_000643,0,2,24,11,1.0
userid_000644,1,1,7,5,2.0
userid_000645,0,2,2,3,1.0
userid_000646,0,1,35,1,2.0
userid_000647,0,2,4,1,2.0
userid_000648,0,2,3,2,2.0
userid_000649,1,1,3,2,2.0
userid_000650,1,2,2,6,2.0
userid_000651,1,2,2,1,2.0
userid_000652,1,1,1,1,1.0
userid_000653,0,2,31,5,5.0
userid_000654,1,2,4,2,2.0
userid_000655,1,3,2,3,1.0
userid_000656,1,2,28,1,2.0
userid_000657,0,2,2,4,2.0
userid_000658,1,2,14,11,2.0
userid_000659,0,2,3,2,1.0
userid_000660,1,2,4,7,2.0
userid_000661,1,1,4,2,1.0
userid_000662,0,2,22,10,2.0
userid_000663,1,4,25,11,2.0
userid_000664,1,2,3,11,1.0
userid_000665,0,2,1,4,1.0
userid_000666,1,2,6,1,1.0
userid_000667,1,2,1,1,2.0
userid_000668,1,1,5,1,5.0
userid_000669,1,3,2,4,2.0
userid_000670,1,2,15,6,2.0
userid_000671,1,2,22,10,1.0
userid_000672,0,2,18,5,1.0
userid_000673,1,1,23,10,1.0
userid_000674,1,3,7,11,1.0
userid_000675,0,2,1,12,2.0
userid_000676,1,2,8,1,2.0
userid_000677,0,1,16,8,2.0
userid_000678,1,2,2,11,2.0
userid_000679,1,1,7,3,5.0
userid_000680,1,1,3,4,1.0
userid_000681,0,2,1,6,5.0
userid_000682,1,1,2,9,5.0
userid_000683,1,1,8,5,2.0
userid_000684,0,2,29,1,1.0
userid_000685,0,2,4,11,2.0
userid_000686,1,4,3,1,1.0
userid_000687,1,3,4,3,5.0
userid_000688,1,2,6,4,2.0
userid_000689,1,2,12,5,1.0
userid_000690,0,2,1,8,1.0
userid_000691,1,3,2,1,2.0
userid_000692,1,3,16,8,2.0
userid_000693,0,1,2,1,5.0
userid_000694,1,2,2,8,5.0
userid_000695,0,2,4,7,5.0
userid_000696,0,2,27,1,2.0
userid_000697,0,1,4,1,2.0
userid_000698,1,2,3,4,1.0
userid_000699,1,3,2,1,5.0
userid_000700,0,2,2,1,2.0
userid_000701,1,2,20,1,2.0
userid_000702,1,2,1,3,2.0
userid_000703,1,1,27,1,2.0
userid_000704,1,2,1,4,1.0
userid_000705,0,2,25,1,5.0
userid_000706,1,2,1,1,2.0
userid_000707,1,2,2,1,5.0
userid_000708,1,1,34,1,1.0
userid_000709,1,2,24,9,2.0
userid_000710,1,1,1,1,1.0
userid_000711,1,2,13,1,2.0
userid_000712,1,2,34,1,2.0
userid_000713,1,1,2,11,2.0
userid_000714,1,2,4,3,1.0
userid_000715,1,3,5,3,1.0
userid_000716,1,1,2,11,2.0
userid_000717,1,2,4,6,2.0
userid_000718,0,1,21,1,2.0
userid_000719,0,2,1,10,2.0
userid_000720,0,2,12,1,1.0
userid_000721,1,1,3,1,1.0
userid_000722,1,2,34,1,1.0
userid_000723,1,2,10,4,2.0
userid_000724,1,2,28,10,5.0
userid_000725,1,2,3,1,2.0
userid_000726,1,2,24,12,5.0
userid_000727,1,2,3,4,1.0
userid_000728,1,1,2,1,5.0
userid_000729,1,2,1,4,2.0
userid_000730,0,3,4,10,5.0
userid_000731,0,1,2,6,2.0
userid_000732,0,2,32,1,5.0
userid_000733,1,2,30,8,2.0
userid_000734,1,2,4,1,1.0
userid_000735,1,3,1,4,2.0
userid_000736,1,2,16,4,2.0
userid_000737,1,3,2,6,2.0
userid_000738,1,2,2,5,1.0
userid_000739,1,2,16,1,5.0
userid_000740,0,2,1,12,1.0
userid_000741,1,3,17,1,2.0
userid_000742,0,2,20,5,2.0
userid_000743,1,3,3,1,5.0
userid_000744,1,1,2,1,5.0
userid_000745,0,1,1,1,2.0
userid_000746,1,2,4,4,2.0
userid_000747,0,2,1,10,2.0
userid_000748,1,2,1,11,5.0
userid_000749,1,1,15,8,2.0
userid_000750,1,2,1,1,2.0
userid_000751,1,2,21,5,2.0
userid_000752,1,2,2,4,2.0
userid_000753,1,2,3,1,2.0
userid_000754,0,3,35,8,2.0
userid_000755,0,3,3,11,1.0
userid_000756,0,2,3,1,1.0
userid_000757,1,2,2,1,1.0
userid_000758,1,2,1,8,2.0
userid_000759,1,1,3,6,1.0
userid_000760,0,1,8,1,1.0
userid_000761,0,2,3,1,2.0
userid_000762,1,2,4,1,2.0
userid_000763,1,2,23,5,1.0
userid_000764,0,2,13,7,5.0
userid_000765,1,4,21,1,1.0
userid_000766,1,2,6,1,5.0
userid_000767,1,2,25,2,1.0
userid_000768,1,2,1,11,2.0
userid_000769,1,2,4,11,2.0
userid_000770,1,2,14,1,2.0
userid_000771,0,2,3,7,5.0
userid_000772,1,2,4,1,2.0
userid_000773,1,1,2,2,2.0
userid_000774,1,2,17,9,5.0
userid_000775,1,2,2,3,2.0
